,Wrist shot,Slap shot,Backhand shot,Tip shot,Snap shot,Wrap around
Forwards,0.5675847073745249,0.06504801594491749,0.10373256024642127,0.10916832759557867,0.14658452618227927,0.007881862656278323
Defensemen,0.48653846153846136,0.2596153846153847,0.03509615384615392,0.019230769230769267,0.19278846153846152,0.006730769230769241
