,Wrist shot,Slap shot,Backhand shot,Tip shot,Snap shot,Wrap around
Forwards,0.9532122881104946,0.8889751096114117,1.0270544572400448,1.5553416749535878,1.0071452504115161,0.5380118545297541
Defensemen,0.9461812801896862,0.8465453888319983,1.2768421213417291,2.8692057128539306,1.354160817713187,2.635009861932941
